segment,n_points,type,method,linearity,planarity,sphericity,curvature_mean,normal_consistency,n_components,rmse,hausdorff_p95,chamfer,n_artifacts,watertight,n_vertices,n_triangles,file
8,1645,complex,poisson,0.24031133889343478,0.7141630558032902,0.045525605303275096,0.05250388437157096,0.9473628818449523,1,0.01420910237467467,0.1419184921363547,0.05392478392070631,4,False,5207,10339,valve_0008_lidar_classes.ply
9,1732,complex,poisson,0.3459885579621066,0.6088999688566461,0.04511147318124734,0.07075811428000099,0.9129612463165234,2,0.013351999422348436,0.07701048577559359,0.03462792813633984,1,False,5401,10658,valve_0008_lidar_classes.ply
10,3531,complex,poisson,0.22734928315755137,0.2891644381200857,0.48348627872236294,0.04056382144197023,0.970178754014944,4,0.010739542961609158,0.040378889252305136,0.02185852105332254,1,False,8320,16441,valve_0008_lidar_classes.ply
11,693,plane,alpha_shape,0.12847289917223317,0.8483315079700441,0.023195592857722748,0.033500438269920454,0.9776676588501293,1,0.011616214048599225,0.019222104142154032,0.01997880832943765,2,False,610,1316,valve_0008_lidar_classes.ply
12,1541,complex,poisson,0.1949657457910529,0.7321717381521904,0.07286251605675673,0.05256864057481348,0.9499565092025337,1,0.014376357540238475,0.14639653917951545,0.054133304550236676,1,False,5994,11834,valve_0008_lidar_classes.ply
13,657,complex,poisson,0.14394845564252892,0.3843852776790039,0.4716662666784672,0.07655722895832684,0.9028688132679117,1,0.012971060831355772,0.029471301394969417,0.022905270348430963,6,False,3246,6262,valve_0008_lidar_classes.ply
2,706,complex,poisson,0.06742982112392101,0.4760350224497282,0.45653515642635084,0.07149011854567838,0.8867686241023824,16,0.023293139007024972,0.12254270702800192,0.07443773146928977,6,False,4857,9321,valve_0010_lidar_classes.ply
3,60,tube,ball_pivoting,0.8550629553854382,0.12547604903850515,0.019460995576056635,0.08571243238952778,0.9261324571003298,2,0.008875848448131447,0.048305131295232236,0.021968464556473992,2,False,60,71,valve_0010_lidar_classes.ply
5,1600,complex,poisson,0.32926488363183815,0.5859301599541354,0.08480495641402636,0.09420697439928968,0.8291472503542029,1,0.020658178904353085,0.23229464526852667,0.1093840766811563,8,False,7768,15260,valve_0010_lidar_classes.ply
6,262,complex,poisson,0.12854772022294106,0.3945624937074826,0.4768897860695764,0.064226992341487,0.9153932632631212,22,0.03732269846511863,0.15748454430661468,0.10683403338307015,9,False,5177,9968,valve_0010_lidar_classes.ply
7,70,tube,ball_pivoting,0.9781877115954514,0.008947023085913606,0.01286526531863497,0.09965554029761797,0.8281613933401974,3,0.017973853740083177,0.029776382278823645,0.021983809556647055,2,False,70,59,valve_0010_lidar_classes.ply
8,1705,complex,poisson,0.35599349256680923,0.6065930093528904,0.03741349808030031,0.05235170018370088,0.9429992916525852,4,0.013086060321750964,0.0889014841182876,0.038248366101640924,1,False,5133,10195,valve_0010_lidar_classes.ply
9,1511,complex,poisson,0.275095096945779,0.6779556091221589,0.04694929393206215,0.06291203849520631,0.9256704197122912,1,0.014363894217878068,0.11061594851580213,0.04772667078416844,3,False,5512,10969,valve_0010_lidar_classes.ply
10,3564,complex,poisson,0.09729484128566601,0.4606031853135958,0.4421019734007382,0.04398735971994239,0.965983510983262,3,0.01121892227937859,0.06170915409238581,0.026653390860086702,3,False,8699,17225,valve_0010_lidar_classes.ply
11,669,plane,alpha_shape,0.2265158593101531,0.7485446876671271,0.024939453022719778,0.03478271970082014,0.9745615451046068,1,0.012413956105751894,0.021705743605674593,0.021111679009595256,1,False,588,1280,valve_0010_lidar_classes.ply
12,1284,plane,alpha_shape,0.0893121570637389,0.8217063581823643,0.08898148475389675,0.04515783744971816,0.962704243456517,1,0.012736596303762358,0.021773385247056375,0.02233950220840672,1,False,1064,2328,valve_0010_lidar_classes.ply
13,625,complex,poisson,0.016011438736476893,0.5329414091052942,0.4510471521582289,0.0717731503138417,0.9091005434510208,1,0.012209936122523163,0.032124839796226295,0.02262624088571349,1,False,2870,5546,valve_0010_lidar_classes.ply
2,421,complex,poisson,0.22535962979831714,0.45722993448704075,0.31741043571464206,0.07441068332558966,0.8820379176059567,14,0.031290996976417705,0.09442646200824384,0.06652981975603274,6,False,2729,5279,valve_0011_lidar_classes.ply
5,1564,complex,poisson,0.4047528870130424,0.5209516238215742,0.07429548916538335,0.09332201813716277,0.8319835866947886,1,0.020898507012682616,0.23377119524076512,0.10920187658591132,1,False,7637,15029,valve_0011_lidar_classes.ply
6,446,tube,ball_pivoting,0.5178697723477685,0.23809689938068174,0.24403332827154967,0.06763045768295742,0.9215914479724455,13,0.01635920036901704,0.06879091338209521,0.041182681566347745,6,False,446,588,valve_0011_lidar_classes.ply
7,69,tube,ball_pivoting,0.975273646818248,0.0058203749892997815,0.018905978192452287,0.11204183853071742,0.7794472889502428,3,0.02020779307062972,0.0775165918982608,0.04209684496367526,2,False,69,49,valve_0011_lidar_classes.ply
8,963,plane,alpha_shape,0.2764552820206981,0.685994700883047,0.03755001709625486,0.04747597114178277,0.9484493926821014,3,0.013980004001308438,0.03263101224504469,0.026058403759464603,1,False,766,1602,valve_0011_lidar_classes.ply
9,1976,tube,ball_pivoting,0.5221613126861837,0.4316945536810673,0.04614413363274898,0.06788098228891438,0.916615303826323,1,0.012098538644537074,0.020750197914702378,0.02074071622943055,4,False,1976,2563,valve_0011_lidar_classes.ply
10,3182,complex,poisson,0.27192429083902825,0.40301680773217763,0.3250589014287941,0.04557889259011987,0.968276882631955,1,0.011943913438172526,0.08752306084207367,0.035906878251827326,1,False,7882,15587,valve_0011_lidar_classes.ply
11,564,plane,alpha_shape,0.32214991786410635,0.6552590515655283,0.022591030570365267,0.02950505347295715,0.9751960376640163,2,0.012862350282120273,0.02178962213976271,0.022182526561605728,4,False,514,1084,valve_0011_lidar_classes.ply
12,1235,plane,alpha_shape,0.04974618651546053,0.8769350063402683,0.07331880714427114,0.04801961877649696,0.9592386045877122,1,0.013007865672506945,0.02258498257117508,0.023437208310449056,1,False,1003,2186,valve_0011_lidar_classes.ply
13,680,complex,poisson,0.1033885745448482,0.4959935032095742,0.40061792224557763,0.0681300673829363,0.919827833920365,1,0.012393954861344715,0.030758656381344222,0.022307465717204024,3,False,3171,6128,valve_0011_lidar_classes.ply
2,453,complex,poisson,0.24835406968283807,0.48520502169065516,0.2664409086265068,0.08053569865190516,0.9051621107622183,14,0.026124237307241893,0.118006017467478,0.07329843727682735,14,False,3199,6064,valve_0012_lidar_classes.ply
