file,label,n_points,density_qual,mean_neighbor_dist,uniformity,shape_type,elongation,surface_class,mean_curvature,curvature_std,normals_consistency,mean_normal_angle_deg,n_components,isolated_clusters,integrity,integrity_qual
valve_0008_lidar_classes.ply,7,75,low,0.14284019190655323,0.3975279546809569,linear,37.393934500507946,slightly curved,0.05503046890054667,0.03375068592464353,low (complex/noisy),29.32169516895103,2,0,0.6933333333333334,fragmented or many components
valve_0008_lidar_classes.ply,8,1729,medium,0.10744007007041984,0.39453099316420875,planar,20.46959492226443,slightly curved,0.04866451139087438,0.03794746716058675,medium (cylindrical/spherical),22.383072587272007,5,4,0.9965297860034702,highly intact (one main component)
valve_0008_lidar_classes.ply,9,1904,medium,0.11585069646916014,0.3683781235524716,planar,18.271967670978565,slightly curved,0.06235612372180419,0.045940445801205126,medium (cylindrical/spherical),26.48698324147175,9,7,0.9936974789915967,highly intact (one main component)
valve_0008_lidar_classes.ply,10,3589,medium,0.1004035450448188,0.38492575080958047,volumetric,2.0268221458444002,slightly curved,0.04111483009053626,0.038932789983279224,medium (cylindrical/spherical),16.825108085022322,11,10,0.9969350794093063,highly intact (one main component)
valve_0008_lidar_classes.ply,11,733,medium,0.12014041572190842,0.40678298947020153,planar,41.44119809512413,slightly curved,0.036368335984865365,0.031840814173215555,medium (cylindrical/spherical),15.866659400559394,8,7,0.9877216916780355,mostly intact with small outliers
valve_0008_lidar_classes.ply,12,1562,medium,0.11299770469377655,0.37212011571856424,planar,13.340894459321966,slightly curved,0.05226407110165033,0.0430678559541864,medium (cylindrical/spherical),22.234036184091295,7,6,0.9929577464788732,highly intact (one main component)
valve_0008_lidar_classes.ply,13,659,medium,0.10817224908737669,0.3185508601622567,volumetric,2.119559383771607,slightly curved,0.06828177605705235,0.04952870983230488,medium (cylindrical/spherical),26.733628891044255,1,0,1.0,highly intact (one main component)
valve_0009_lidar_classes.ply,2,593,medium,0.13947133751082336,0.6572725480146561,volumetric,2.4514159296492113,slightly curved,0.06417644623706935,0.04061671216095972,low (complex/noisy),31.174047343728674,21,6,0.10623946037099494,fragmented or many components
valve_0009_lidar_classes.ply,3,85,low,0.12925169235188355,0.36830173388852405,linear,37.63566871725129,slightly curved,0.045824361119117245,0.03259764366852351,medium (cylindrical/spherical),26.02082075273827,1,0,1.0,highly intact (one main component)
valve_0009_lidar_classes.ply,5,1658,medium,0.10785004609323721,0.36773239624447407,planar,13.67405357002884,slightly curved,0.06535810508678659,0.045128207604694534,low (complex/noisy),32.435517591539146,5,4,0.9975874547647768,highly intact (one main component)
